鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080327,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10250000,81740,坡道平面,24.85,1700000,預售屋、或土地及建物分次登記案件;,RPSVMLSKKIPFFAH17DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080130,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10410000,83270,坡道平面,24.85,1700000,預售屋、或土地及建物分次登記案件;,RPTVMLSKKIPFFAH27DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080316,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,2,2,2,有,有,10280000,82983,坡道平面,24.85,1600000,預售屋、或土地及建物分次登記案件;,RPUVMLSKKIPFFAH37DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080324,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,2,2,2,有,有,10480000,82983,坡道平面,24.85,1800000,預售屋、或土地及建物分次登記案件;,RPWVMLSKKIPFFAH57DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080410,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10210000,81836,坡道平面,24.85,1650000,預售屋、或土地及建物分次登記案件;,RPXVMLSKKIPFFAH67DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080609,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,127.46000000000001,3,2,2,有,有,10380000,81549,坡道平面,22.86,1850000,預售屋、或土地及建物分次登記案件;,RPPWMLSKKIPFFAH96DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080420,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10180000,81071,坡道平面,24.85,1700000,預售屋、或土地及建物分次登記案件;,RPQWMLSKKIPFFAH07DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080614,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,127.46000000000001,3,2,2,有,有,10150000,80306,坡道平面,22.86,1750000,預售屋、或土地及建物分次登記案件;,RPRWMLSKKIPFFAH17DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080309,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,129.45,3,2,2,有,有,10380000,81071,坡道平面,24.85,1900000,預售屋、或土地及建物分次登記案件;,RPSWMLSKKIPFFAH27DA,66.95,0.0,6.84,有,
桃園區,房地(土地+建物)+車位,正光二街8巷1~30號,21.09,都市：其他:住宅區,,,1080511,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100104,127.46000000000001,3,2,2,有,有,10200000,80784,坡道平面,22.86,1750000,預售屋、或土地及建物分次登記案件;,RPTWMLSKKIPFFAH37DA,66.95,0.0,6.84,有,
