鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
汐止區,房地(土地+建物),新臺五路二段241~270號,7.07,都市：其他:保護區,,,1091226,土地2建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840320,54.790000000000006,1,1,1,有,有,3000000,54755,,0.0,0,,RPTOMLSJKHGGFDF28DA,39.47,0.0,6.91,有,
汐止區,房地(土地+建物)+車位,新臺五路二段211~240號,18.88,都市：其他:第二種住宅區,,,1100105,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961123,171.31,2,2,1,有,有,8800000,51369,坡道平面,41.57,0,陽台外推;,RPVOMLSJKHGGFDF48DA,83.76,0.0,10.82,有,
汐止區,房地(土地+建物)+車位,新臺五路一段61~90號,23.99,都市：其他:鐵路用地,,,1100104,土地3建物1車位2,十七層,二十一層,住宅大樓(11層含以上有電梯),工商用,鋼造,0830330,370.67,6,1,0,有,有,24107950,65039,坡道平面,63.02,0,,RPTPMLSJKHGGFDF38DA,223.15,0.0,0.0,有,
汐止區,房地(土地+建物),汐萬路二段37巷1~30號,43.91,,鄉村區,乙種建築用地,1100115,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701203,134.62,0,0,0,無,無,8580000,63735,,0.0,0,其他:平台外推其他增建;,RPVPMLSJKHGGFDF58DA,123.74,10.88,0.0,無,096
汐止區,房地(土地+建物)+車位,康寧街459巷1~30號,13.21,都市：其他:商業區,,,1100101,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090918,123.07,0,0,0,無,有,10700000,95538,坡道平面,32.53,2050000,,RPTOMLTLJHGGFDF48DA,50.92,3.92,4.54,有,
汐止區,房地(土地+建物)+車位,康寧街459巷1~30號,12.73,都市：其他:商業區,,,1100103,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090918,119.21000000000001,0,0,0,無,有,10190000,95062,坡道平面,32.53,1950000,,RPVPMLMJKHGGFDF97DA,49.77,3.38,3.53,有,
汐止區,房地(土地+建物)+車位,康寧街459巷1~30號,13.21,都市：其他:商業區,,,1091217,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090918,121.03999999999999,0,0,0,無,有,11000000,100464,坡道平面,30.46,1900000,,RPVNMLLLKIPFFDF78DA,50.95,3.91,4.54,有,
汐止區,房地(土地+建物)+車位,康寧街459巷1~30號,13.21,都市：其他:商業區,,,1091215,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090918,121.01,0,0,0,無,有,11380000,103589,坡道平面,30.46,2000000,,RPROMLLLKIPFFDF48DA,50.93,3.91,4.54,有,
汐止區,房地(土地+建物)+車位,康寧街459巷31~60號,14.8,都市：其他:商業區,,,1081112,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090918,130.07,2,2,1,有,有,13370000,115149,坡道平面,30.46,1900000,,RPUOMLRLIIPFFDF56DA,58.11,5.47,4.42,有,
汐止區,房地(土地+建物)+車位,康寧街459巷1~30號,18.85,都市：其他:商業區,,,1091118,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090918,160.22,0,0,0,無,有,14220000,96092,坡道平面,32.53,1950000,,RPSPMLRJKIPFFDF09DA,73.02,2.56,7.12,有,
